INTERSECTION,FIRST APPROACH,SECOND APPROACH,THIRD APPROACH,GO LIVE DATE,LATITUDE,LONGITUDE,LOCATION
Halsted-North,NB,WB,,06/29/2009,41.91092,-87.648273,"(41.91092, -87.648273)"
Central-Irving Park,SB,EB,,06/30/2008,41.953183,-87.766998,"(41.953183, -87.766998)"
Pulaski-79th,SB,WB,,09/17/2009,41.749569,-87.721913,"(41.749569, -87.721913)"
Pulaski-Foster,SB,WB,,10/18/2007,41.975532,-87.728234,"(41.975532, -87.728234)"
Cicero-Chicago,NB,EB,,10/05/2007,41.895003,-87.745805,"(41.895003, -87.745805)"
Illinois-Columbus,NB,SB,,10/28/2010,41.891002,-87.620224,"(41.891002, -87.620224)"
Central-Milwaukee,SB,SEB,,09/29/2017,41.976514,-87.768467,"(41.976514, -87.768467)"
State-79th,WB,NB,,06/26/2009,41.750958,-87.624547,"(41.750958, -87.624547)"
Kostner-Ogden,SB,EB,,05/23/2008,41.847697,-87.734387,"(41.847697, -87.734387)"
Clark-Ridge,NB,SB,,07/23/2008,41.989697,-87.669985,"(41.989697, -87.669985)"
Pulaski-55th,SB,WB,,11/19/2004,41.793205,-87.72316,"(41.793205, -87.72316)"
Western-Montrose,NB,WB,,08/26/2008,41.961313,-87.688681,"(41.961313, -87.688681)"
Jeffery-95th,SB,EB,,11/26/2007,41.722468,-87.575353,"(41.722468, -87.575353)"
Halsted-Madison,NB,SB,,06/14/2008,41.881776,-87.647361,"(41.881776, -87.647361)"
Broadway-Foster,NB,EB,,10/18/2007,41.976323,-87.659867,"(41.976323, -87.659867)"
Homan-Kimball-North,NB,EB,,10/05/2007,41.910053,-87.711879,"(41.910053, -87.711879)"
Western-35th,SB,NB,,10/11/2004,41.83028,-87.685033,"(41.83028, -87.685033)"
Halsted-119th,SB,WB,,11/02/2004,41.677815,-87.641907,"(41.677815, -87.641907)"
Cicero-Addison,NB,SB,,11/30/2008,41.946124,-87.747064,"(41.946124, -87.747064)"
Harlem-Addison,NB,EB,,06/21/2009,41.945264,-87.807006,"(41.945264, -87.807006)"
Cicero-Stevenson NB (SOUTH INTERSECTION),NB,SB,,04/29/2009,41.817092,-87.743477,"(41.817092, -87.743477)"
