movie,character,dialog
The Return of the King,FRODO,it
The Return of the King,FRODO,was
The Return of the King,FRODO,we
The Return of the King,FRODO,were
The Return of the King,FRODO,home
The Return of the King,PIPPIN,alright
The Return of the King,HOBBIT,hey
The Return of the King,HOBBIT,watch
The Return of the King,HOBBIT,the
The Return of the King,HOBBIT,pumpkin
The Return of the King,ROSIE,goodnight
The Return of the King,ROSIE,lads
The Return of the King,SAM,that
The Return of the King,SAM,much
The Return of the King,SAM,left
The Return of the King,SAM,we
The Return of the King,SAM,have
The Return of the King,SAM,to
The Return of the King,SAM,be
The Return of the King,SAM,careful
The Return of the King,SAM,or
The Return of the King,SAM,we
The Return of the King,SAM,are
The Return of the King,SAM,going
The Return of the King,SAM,to
The Return of the King,SAM,run
The Return of the King,SAM,out
The Return of the King,SAM,you
The Return of the King,SAM,go
The Return of the King,SAM,ahead
The Return of the King,SAM,and
The Return of the King,SAM,eat
The Return of the King,SAM,that
The Return of the King,SAM,mr
The Return of the King,SAM,frodo
The Return of the King,SAM,ive
The Return of the King,SAM,rationed
The Return of the King,SAM,it
The Return of the King,SAM,there
The Return of the King,SAM,should
The Return of the King,SAM,be
The Return of the King,SAM,enough
The Return of the King,SAM,alright
The Return of the King,SAM,but
The Return of the King,SAM,we
The Return of the King,SAM,dont
The Return of the King,SAM,have
The Return of the King,SAM,oh
The Return of the King,FRODO,what
The Return of the King,FRODO,for
The Return of the King,SAM,journey
The Return of the King,SAM,home
The Return of the King,SAM,the
The Return of the King,GOLLUM,close
The Return of the King,GOLLUM,to
The Return of the King,GOLLUM,mordor
The Return of the King,GOLLUM,no
The Return of the King,GOLLUM,safe
The Return of the King,GOLLUM,places
The Return of the King,GOLLUM,here
The Return of the King,GOLLUM,hurry
The Return of the King,GOLLUM,hobbitses
The Return of the King,GOLLUM,very
The Return of the King,GOLLUM,close
The Return of the King,GOLLUM,now
The Return of the King,GOLLUM,very
The Return of the King,GOLLUM,come
The Return of the King,MERRY,longbottom
The Return of the King,MERRY,leaf
The Return of the King,MERRY,eh
The Return of the King,MERRY,good
The Return of the King,MERRY,definitely
The Return of the King,MERRY,from
The Return of the King,MERRY,the
The Return of the King,MERRY,shire
The Return of the King,MERRY,its
The Return of the King,PIPPIN,back
The Return of the King,PIPPIN,at
The Return of the King,PIPPIN,the
The Return of the King,PIPPIN,green
The Return of the King,PIPPIN,dragon
The Return of the King,PIPPIN,huh
The Return of the King,PIPPIN,i
The Return of the King,PIPPIN,feel
The Return of the King,PIPPIN,like
The Return of the King,PIPPIN,im
The Return of the King,PIPPIN,uhh
The Return of the King,MERRY,green
The Return of the King,MERRY,dragon
The Return of the King,MERRY,mmmm
The Return of the King,PIPPIN,hand
The Return of the King,PIPPIN,putting
The Return of the King,PIPPIN,my
The Return of the King,PIPPIN,feet
The Return of the King,PIPPIN,up
The Return of the King,PIPPIN,on
The Return of the King,PIPPIN,settle
The Return of the King,PIPPIN,after
The Return of the King,PIPPIN,hard
The Return of the King,PIPPIN,days
The Return of the King,PIPPIN,work
The Return of the King,PIPPIN,mug
The Return of the King,PIPPIN,of
The Return of the King,PIPPIN,ale
The Return of the King,PIPPIN,in
The Return of the King,PIPPIN,my
The Return of the King,MERRY,days
The Return of the King,MERRY,work
The Return of the King,MERRY,youve
The Return of the King,MERRY,never
The Return of the King,MERRY,done
The Return of the King,MERRY,hard
The Return of the King,MERRY,only
The Return of the King,PIPPIN,ahaha
The Return of the King,MERRY,my
The Return of the King,MERRY,lords
The Return of the King,MERRY,to
The Return of the King,MERRY,isengard
The Return of the King,MERRY,welcome
The Return of the King,GIMLI,youve
The Return of the King,GIMLI,led
The Return of the King,GIMLI,us
The Return of the King,GIMLI,on
The Return of the King,GIMLI,and
The Return of the King,GIMLI,now
The Return of the King,GIMLI,we
The Return of the King,GIMLI,find
The Return of the King,GIMLI,you
The Return of the King,GIMLI,feasting
The Return of the King,GIMLI,and
The Return of the King,GIMLI,and
The Return of the King,GIMLI,smoking
The Return of the King,GIMLI,young
The Return of the King,GIMLI,rascals
The Return of the King,GIMLI,merry
The Return of the King,GIMLI,hunt
The Return of the King,GIMLI,you
The Return of the King,PIPPIN,hmm
The Return of the King,FRODO,the
The Return of the King,FRODO,threads
The Return of the King,FRODO,of
The Return of the King,FRODO,an
The Return of the King,FRODO,old
The Return of the King,FRODO,life
The Return of the King,FRODO,how
The Return of the King,FRODO,do
The Return of the King,FRODO,you
The Return of the King,FRODO,go
The Return of the King,FRODO,on
The Return of the King,FRODO,when
The Return of the King,FRODO,in
The Return of the King,FRODO,your
The Return of the King,FRODO,heart
The Return of the King,FRODO,you
The Return of the King,FRODO,begin
The Return of the King,FRODO,to
The Return of the King,FRODO,understand
The Return of the King,FRODO,there
The Return of the King,FRODO,is
The Return of the King,FRODO,no
The Return of the King,FRODO,going
The Return of the King,FRODO,back
The Return of the King,FRODO,there
The Return of the King,FRODO,are
The Return of the King,FRODO,some
The Return of the King,FRODO,things
The Return of the King,FRODO,that
The Return of the King,FRODO,time
The Return of the King,FRODO,cannot
The Return of the King,FRODO,mend
The Return of the King,FRODO,some
The Return of the King,FRODO,hurts
The Return of the King,FRODO,that
The Return of the King,FRODO,go
The Return of the King,FRODO,too
The Return of the King,FRODO,deep
The Return of the King,FRODO,that
The Return of the King,FRODO,have
The Return of the King,FRODO,how
The Return of the King,FRODO,taken
The Return of the King,FRODO,hold
The Return of the King,FRODO,do
The Return of the King,FRODO,you
The Return of the King,FRODO,pick
The Return of the King,FRODO,up
The Return of the King,SAM,mr
The Return of the King,SAM,frodo
The Return of the King,SAM,what
The Return of the King,SAM,is
The Return of the King,SAM,it
The Return of the King,FRODO,the
The Return of the King,FRODO,day
The Return of the King,FRODO,since
The Return of the King,FRODO,weathertop
The Return of the King,FRODO,sam
The Return of the King,FRODO,its
The Return of the King,FRODO,never
The Return of the King,FRODO,really
The Return of the King,FRODO,healed
The Return of the King,FRODO,its
The Return of the King,FRODO,been
The Return of the King,FRODO,four
The Return of the King,FRODO,years
The Return of the King,FRODO,to
The Return of the King,SAM,hobbits
The Return of the King,SAM,tale
The Return of the King,SAM,by
The Return of the King,SAM,bilbo
The Return of the King,SAM,baggins
The Return of the King,SAM,and
The Return of the King,SAM,the
The Return of the King,SAM,lord
The Return of the King,SAM,of
The Return of the King,SAM,the
The Return of the King,SAM,rings
The Return of the King,SAM,by
The Return of the King,SAM,frodo
The Return of the King,SAM,baggins
The Return of the King,SAM,you
The Return of the King,SAM,finished
The Return of the King,SAM,it
The Return of the King,SAM,there
The Return of the King,SAM,and
The Return of the King,SAM,back
The Return of the King,SAM,again
The Return of the King,FRODO,little
The Return of the King,FRODO,more
The Return of the King,FRODO,not
The Return of the King,FRODO,quite
The Return of the King,FRODO,theres
The Return of the King,FRODO,room
The Return of the King,FRODO,for
The Return of the King,FRODO,part
The Return of the King,FRODO,in
The Return of the King,FRODO,this
The Return of the King,FRODO,tale
The Return of the King,FRODO,would
The Return of the King,FRODO,end
The Return of the King,FRODO,that
The Return of the King,FRODO,each
The Return of the King,FRODO,of
The Return of the King,FRODO,us
The Return of the King,FRODO,must
The Return of the King,FRODO,come
The Return of the King,FRODO,and
The Return of the King,FRODO,go
The Return of the King,FRODO,in
The Return of the King,FRODO,the
The Return of the King,FRODO,telling
The Return of the King,FRODO,bilbos
The Return of the King,FRODO,story
The Return of the King,FRODO,was
The Return of the King,FRODO,now
The Return of the King,FRODO,over
The Return of the King,FRODO,there
The Return of the King,FRODO,would
The Return of the King,FRODO,be
The Return of the King,FRODO,no
The Return of the King,FRODO,more
The Return of the King,FRODO,journeys
The Return of the King,FRODO,for
The Return of the King,FRODO,him
The Return of the King,FRODO,save
The Return of the King,FRODO,one
The Return of the King,FRODO,bilbo
The Return of the King,FRODO,once
The Return of the King,FRODO,told
The Return of the King,FRODO,me
The Return of the King,FRODO,his
The Return of the King,BILBO,are
The Return of the King,BILBO,we
The Return of the King,BILBO,going
The Return of the King,BILBO,tell
The Return of the King,BILBO,me
The Return of the King,BILBO,again
The Return of the King,BILBO,lad
The Return of the King,BILBO,where
The Return of the King,FRODO,elves
The Return of the King,FRODO,have
The Return of the King,FRODO,accorded
The Return of the King,FRODO,you
The Return of the King,FRODO,special
The Return of the King,FRODO,honour
The Return of the King,FRODO,place
The Return of the King,FRODO,on
The Return of the King,FRODO,the
The Return of the King,FRODO,last
The Return of the King,FRODO,ship
The Return of the King,FRODO,to
The Return of the King,FRODO,leave
The Return of the King,FRODO,middle
The Return of the King,FRODO,earth
The Return of the King,FRODO,to
The Return of the King,FRODO,the
The Return of the King,FRODO,harbour
The Return of the King,FRODO,bilbo
The Return of the King,FRODO,the
The Return of the King,BILBO,that
The Return of the King,BILBO,old
The Return of the King,BILBO,ring
The Return of the King,BILBO,of
The Return of the King,BILBO,mine
The Return of the King,BILBO,again
The Return of the King,BILBO,the
The Return of the King,BILBO,one
The Return of the King,BILBO,i
The Return of the King,BILBO,gave
The Return of the King,BILBO,you
The Return of the King,BILBO,frodo
The Return of the King,BILBO,any
The Return of the King,BILBO,chance
The Return of the King,BILBO,of
The Return of the King,BILBO,seeing
The Return of the King,PIPPIN,field
The Return of the King,PIPPIN,of
The Return of the King,PIPPIN,victory
The Return of the King,PIPPIN,enjoying
The Return of the King,PIPPIN,few
The Return of the King,PIPPIN,well
The Return of the King,PIPPIN,earned
The Return of the King,PIPPIN,comforts
The Return of the King,PIPPIN,the
The Return of the King,PIPPIN,salted
The Return of the King,PIPPIN,pork
The Return of the King,PIPPIN,is
The Return of the King,PIPPIN,particularly
The Return of the King,PIPPIN,good
The Return of the King,PIPPIN,we
The Return of the King,PIPPIN,are
The Return of the King,PIPPIN,sitting
The Return of the King,PIPPIN,on
The Return of the King,GIMLI,pork
The Return of the King,GIMLI,salted
The Return of the King,GANDALF,hobbits
The Return of the King,MERRY,taken
The Return of the King,MERRY,over
The Return of the King,MERRY,management
The Return of the King,MERRY,of
The Return of the King,MERRY,isengard
The Return of the King,MERRY,under
The Return of the King,MERRY,orders
The Return of the King,MERRY,from
The Return of the King,MERRY,treebeard
The Return of the King,MERRY,whos
The Return of the King,MERRY,were
The Return of the King,TREEBEARD,youve
The Return of the King,TREEBEARD,come
The Return of the King,TREEBEARD,wood
The Return of the King,TREEBEARD,and
The Return of the King,TREEBEARD,water
The Return of the King,TREEBEARD,stock
The Return of the King,TREEBEARD,and
The Return of the King,TREEBEARD,stone
The Return of the King,TREEBEARD,i
The Return of the King,TREEBEARD,can
The Return of the King,TREEBEARD,master
The Return of the King,TREEBEARD,but
The Return of the King,TREEBEARD,there
The Return of the King,TREEBEARD,is
The Return of the King,TREEBEARD,wizard
The Return of the King,TREEBEARD,to
The Return of the King,TREEBEARD,manage
The Return of the King,TREEBEARD,here
The Return of the King,TREEBEARD,locked
The Return of the King,TREEBEARD,in
The Return of the King,TREEBEARD,his
The Return of the King,TREEBEARD,tower
The Return of the King,TREEBEARD,young
The Return of the King,TREEBEARD,master
The Return of the King,TREEBEARD,gandalf
The Return of the King,TREEBEARD,im
The Return of the King,TREEBEARD,glad
The Return of the King,TREEBEARD,hoooom
The Return of the King,ARAGORN,show
The Return of the King,ARAGORN,yourself
The Return of the King,GANDALF,is
The Return of the King,GANDALF,dangerous
The Return of the King,GANDALF,careful
The Return of the King,GANDALF,even
The Return of the King,GANDALF,in
The Return of the King,GANDALF,defeat
The Return of the King,GANDALF,saruman
The Return of the King,GANDALF,be
The Return of the King,GIMLI,head
The Return of the King,GIMLI,and
The Return of the King,GIMLI,be
The Return of the King,GIMLI,done
The Return of the King,GIMLI,with
The Return of the King,GIMLI,it
The Return of the King,GIMLI,then
The Return of the King,GIMLI,lets
The Return of the King,GIMLI,just
The Return of the King,GIMLI,have
The Return of the King,GIMLI,his
The Return of the King,GIMLI,well
The Return of the King,GANDALF,need
The Return of the King,GANDALF,him
The Return of the King,GANDALF,to
The Return of the King,GANDALF,talk
The Return of the King,GANDALF,we
The Return of the King,GANDALF,need
The Return of the King,GANDALF,him
The Return of the King,GANDALF,alive
The Return of the King,GANDALF,we
The Return of the King,GANDALF,no
The Return of the King,SARUMAN,slain
The Return of the King,SARUMAN,many
The Return of the King,SARUMAN,men
The Return of the King,SARUMAN,theoden
The Return of the King,SARUMAN,king
The Return of the King,SARUMAN,and
The Return of the King,SARUMAN,made
The Return of the King,SARUMAN,peace
The Return of the King,SARUMAN,afterwards
The Return of the King,SARUMAN,can
The Return of the King,SARUMAN,we
The Return of the King,SARUMAN,not
The Return of the King,SARUMAN,take
The Return of the King,SARUMAN,counsel
The Return of the King,SARUMAN,together
The Return of the King,SARUMAN,as
The Return of the King,SARUMAN,we
The Return of the King,SARUMAN,once
The Return of the King,SARUMAN,did
The Return of the King,SARUMAN,my
The Return of the King,SARUMAN,old
The Return of the King,SARUMAN,friendcan
The Return of the King,SARUMAN,we
The Return of the King,SARUMAN,not
The Return of the King,SARUMAN,have
The Return of the King,SARUMAN,peace
The Return of the King,SARUMAN,you
The Return of the King,SARUMAN,and
The Return of the King,SARUMAN,i
The Return of the King,SARUMAN,have
The Return of the King,SARUMAN,fought
The Return of the King,SARUMAN,many
The Return of the King,SARUMAN,wars
The Return of the King,SARUMAN,and
The Return of the King,SARUMAN,you
The Return of the King,THEODEN,have
The Return of the King,THEODEN,peace
The Return of the King,THEODEN,when
The Return of the King,THEODEN,you
The Return of the King,THEODEN,answer
The Return of the King,THEODEN,for
The Return of the King,THEODEN,the
The Return of the King,THEODEN,burning
The Return of the King,THEODEN,of
The Return of the King,THEODEN,the
The Return of the King,THEODEN,westfold
The Return of the King,THEODEN,and
The Return of the King,THEODEN,the
The Return of the King,THEODEN,children
The Return of the King,THEODEN,that
The Return of the King,THEODEN,lie
The Return of the King,THEODEN,dead
The Return of the King,THEODEN,there
The Return of the King,THEODEN,we
The Return of the King,THEODEN,shall
The Return of the King,THEODEN,have
The Return of the King,THEODEN,peace
The Return of the King,THEODEN,when
The Return of the King,THEODEN,the
The Return of the King,THEODEN,lives
The Return of the King,THEODEN,of
The Return of the King,THEODEN,the
The Return of the King,THEODEN,soldiers
The Return of the King,THEODEN,whose
The Return of the King,THEODEN,bodies
The Return of the King,THEODEN,were
The Return of the King,THEODEN,hewn
The Return of the King,THEODEN,even
The Return of the King,THEODEN,as
The Return of the King,THEODEN,they
The Return of the King,THEODEN,lay
The Return of the King,THEODEN,dead
The Return of the King,THEODEN,against
The Return of the King,THEODEN,the
The Return of the King,THEODEN,gates
The Return of the King,THEODEN,shall
The Return of the King,THEODEN,of
The Return of the King,THEODEN,the
The Return of the King,THEODEN,hornburg
The Return of the King,THEODEN,are
The Return of the King,THEODEN,avenged
The Return of the King,THEODEN,when
The Return of the King,THEODEN,you
The Return of the King,THEODEN,hang
The Return of the King,THEODEN,from
The Return of the King,THEODEN,have
The Return of the King,THEODEN,gibbet
The Return of the King,THEODEN,for
The Return of the King,THEODEN,the
The Return of the King,THEODEN,sport
The Return of the King,THEODEN,of
The Return of the King,THEODEN,your
The Return of the King,THEODEN,own
The Return of the King,THEODEN,crows
The Return of the King,THEODEN,we
The Return of the King,THEODEN,shall
The Return of the King,THEODEN,peace
The Return of the King,THEODEN,have
The Return of the King,THEODEN,peace
The Return of the King,THEODEN,we
The Return of the King,THEODEN,shall
The Return of the King,THEODEN,we
The Return of the King,SARUMAN,you
The Return of the King,SARUMAN,want
The Return of the King,SARUMAN,gandalf
The Return of the King,SARUMAN,grahame
The Return of the King,SARUMAN,let
The Return of the King,SARUMAN,me
The Return of the King,SARUMAN,guess
The Return of the King,SARUMAN,the
The Return of the King,SARUMAN,key
The Return of the King,SARUMAN,of
The Return of the King,SARUMAN,orthanc
The Return of the King,SARUMAN,or
The Return of the King,SARUMAN,perhaps
The Return of the King,SARUMAN,the
The Return of the King,SARUMAN,keys
The Return of the King,SARUMAN,of
The Return of the King,SARUMAN,barad
The Return of the King,SARUMAN,dr
The Return of the King,SARUMAN,itself
The Return of the King,SARUMAN,along
The Return of the King,SARUMAN,with
The Return of the King,SARUMAN,the
The Return of the King,SARUMAN,crowns
The Return of the King,SARUMAN,of
The Return of the King,SARUMAN,the
The Return of the King,SARUMAN,seven
The Return of the King,SARUMAN,kings
The Return of the King,SARUMAN,and
The Return of the King,SARUMAN,the
The Return of the King,SARUMAN,rods
The Return of the King,SARUMAN,of
The Return of the King,SARUMAN,the
The Return of the King,SARUMAN,five
The Return of the King,SARUMAN,wizards
The Return of the King,SARUMAN,and
The Return of the King,SARUMAN,crows
The Return of the King,SARUMAN,dotard
The Return of the King,SARUMAN,what
The Return of the King,SARUMAN,do
The Return of the King,SARUMAN,gibbets
The Return of the King,GANDALF,lives
The Return of the King,GANDALF,thousands
The Return of the King,GANDALF,more
The Return of the King,GANDALF,are
The Return of the King,GANDALF,now
The Return of the King,GANDALF,at
The Return of the King,GANDALF,risk
The Return of the King,GANDALF,but
The Return of the King,GANDALF,you
The Return of the King,GANDALF,could
The Return of the King,GANDALF,save
The Return of the King,GANDALF,them
The Return of the King,GANDALF,saruman
The Return of the King,GANDALF,you
The Return of the King,GANDALF,were
The Return of the King,GANDALF,deep
The Return of the King,GANDALF,in
The Return of the King,GANDALF,the
The Return of the King,GANDALF,enemys
The Return of the King,GANDALF,counsel
The Return of the King,GANDALF,treachery
The Return of the King,GANDALF,has
The Return of the King,GANDALF,already
The Return of the King,GANDALF,cost
The Return of the King,GANDALF,many
The Return of the King,GANDALF,your
The Return of the King,FRODO,i
The Return of the King,FRODO,lost
The Return of the King,FRODO,it
The Return of the King,FRODO,im
The Return of the King,FRODO,sorry
The Return of the King,FRODO,uncle
The Return of the King,FRODO,im
The Return of the King,FRODO,afraid
The Return of the King,BILBO,would
The Return of the King,BILBO,have
The Return of the King,BILBO,like
The Return of the King,BILBO,to
The Return of the King,BILBO,have
The Return of the King,BILBO,held
The Return of the King,BILBO,it
The Return of the King,BILBO,one
The Return of the King,BILBO,last
The Return of the King,BILBO,time
The Return of the King,BILBO,oh
The Return of the King,BILBO,pity
The Return of the King,BILBO,he
The Return of the King,BILBO,sighs
The Return of the King,BILBO,i
The Return of the King,BILBO,sight
The Return of the King,BILBO,i
The Return of the King,BILBO,have
The Return of the King,BILBO,never
The Return of the King,BILBO,seen
The Return of the King,BILBO,before
