movie,character,dialog
The Return of the King,DEAGOL,got
The Return of the King,DEAGOL,fish
The Return of the King,DEAGOL,smeagol
The Return of the King,DEAGOL,smeagol
The Return of the King,DEAGOL,smeagol
The Return of the King,DEAGOL,ive
The Return of the King,DEAGOL,got
The Return of the King,DEAGOL,one
The Return of the King,DEAGOL,ive
The Return of the King,DEAGOL,oh
The Return of the King,SMEAGOL,on
The Return of the King,SMEAGOL,go
The Return of the King,SMEAGOL,on
The Return of the King,SMEAGOL,pull
The Return of the King,SMEAGOL,it
The Return of the King,SMEAGOL,in
The Return of the King,SMEAGOL,it
The Return of the King,SMEAGOL,in
The Return of the King,SMEAGOL,go
The Return of the King,SMEAGOL,on
The Return of the King,SMEAGOL,go
The Return of the King,SMEAGOL,pull
The Return of the King,DEAGOL,arrghh
The Return of the King,SMEAGOL,deagol
The Return of the King,SMEAGOL,deagol
The Return of the King,SMEAGOL,deagol
The Return of the King,SMEAGOL,us
The Return of the King,SMEAGOL,that
The Return of the King,SMEAGOL,deagol
The Return of the King,SMEAGOL,my
The Return of the King,SMEAGOL,love
The Return of the King,SMEAGOL,give
The Return of the King,DEAGOL,why
The Return of the King,SMEAGOL,wants
The Return of the King,SMEAGOL,it
The Return of the King,SMEAGOL,its
The Return of the King,SMEAGOL,my
The Return of the King,SMEAGOL,birthday
The Return of the King,SMEAGOL,and
The Return of the King,SMEAGOL,i
The Return of the King,SMEAGOL,because
The Return of the King,SMEAGOL,precious
The Return of the King,SMEAGOL,my
The Return of the King,SMEAGOL,cursed
The Return of the King,SMEAGOL,us
The Return of the King,SMEAGOL,they
The Return of the King,GOLLUM,murderer
The Return of the King,SMEAGOL,us
The Return of the King,SMEAGOL,and
The Return of the King,SMEAGOL,drove
The Return of the King,SMEAGOL,us
The Return of the King,SMEAGOL,away
The Return of the King,SMEAGOL,they
The Return of the King,SMEAGOL,called
The Return of the King,SMEAGOL,us
The Return of the King,SMEAGOL,they
The Return of the King,SMEAGOL,cursed
The Return of the King,SMEAGOL,murderer
The Return of the King,SMEAGOL,precious
The Return of the King,SMEAGOL,we
The Return of the King,SMEAGOL,wept
The Return of the King,SMEAGOL,to
The Return of the King,SMEAGOL,be
The Return of the King,SMEAGOL,so
The Return of the King,SMEAGOL,alone
The Return of the King,SMEAGOL,gollum
The Return of the King,SMEAGOL,gollum
The Return of the King,SMEAGOL,and
The Return of the King,SMEAGOL,we
The Return of the King,SMEAGOL,wept
The Return of the King,SMEAGOL,gollum
The Return of the King,SMEAGOL,and
The Return of the King,SMEAGOL,we
The Return of the King,SMEAGOL,only
The Return of the King,SMEAGOL,wish
The Return of the King,SMEAGOL,to
The Return of the King,SMEAGOL,catch
The Return of the King,SMEAGOL,fish
The Return of the King,SMEAGOL,so
The Return of the King,SMEAGOL,juicy
The Return of the King,SMEAGOL,sweet
The Return of the King,SMEAGOL,cool
The Return of the King,SMEAGOL,so
The Return of the King,SMEAGOL,nice
The Return of the King,SMEAGOL,for
The Return of the King,SMEAGOL,feet
The Return of the King,SMEAGOL,and
The Return of the King,SMEAGOL,bread
The Return of the King,SMEAGOL,the
The Return of the King,SMEAGOL,sound
The Return of the King,SMEAGOL,of
The Return of the King,SMEAGOL,trees
The Return of the King,SMEAGOL,and
The Return of the King,SMEAGOL,the
The Return of the King,SMEAGOL,softness
The Return of the King,SMEAGOL,of
The Return of the King,SMEAGOL,the
The Return of the King,SMEAGOL,wind
The Return of the King,SMEAGOL,we
The Return of the King,SMEAGOL,even
The Return of the King,SMEAGOL,forgot
The Return of the King,SMEAGOL,our
The Return of the King,SMEAGOL,own
The Return of the King,SMEAGOL,name
The Return of the King,SMEAGOL,we
The Return of the King,SMEAGOL,forgot
The Return of the King,SMEAGOL,the
The Return of the King,SMEAGOL,taste
The Return of the King,SMEAGOL,of
The Return of the King,SMEAGOL,and
The Return of the King,FRODO,gandalf
The Return of the King,FRODO,oooohhh
The Return of the King,MERRY,frodo
The Return of the King,FRODO,gimli
The Return of the King,GOLLUM,precious
The Return of the King,GOLLUM,my
The Return of the King,GOLLUM,sleepies
The Return of the King,GOLLUM,we
The Return of the King,GOLLUM,must
The Return of the King,GOLLUM,go
The Return of the King,GOLLUM,yes
The Return of the King,GOLLUM,we
The Return of the King,GOLLUM,must
The Return of the King,GOLLUM,go
The Return of the King,GOLLUM,at
The Return of the King,GOLLUM,once
The Return of the King,GOLLUM,up
The Return of the King,GOLLUM,wake
The Return of the King,GOLLUM,up
The Return of the King,GOLLUM,wake
The Return of the King,GOLLUM,up
The Return of the King,GOLLUM,wake
The Return of the King,SAM,frodo
The Return of the King,SAM,you
The Return of the King,SAM,had
The Return of the King,SAM,any
The Return of the King,SAM,sleep
The Return of the King,SAM,mr
The Return of the King,SAM,havent
The Return of the King,SAM,much
The Return of the King,SAM,it
The Return of the King,SAM,must
The Return of the King,SAM,be
The Return of the King,SAM,getting
The Return of the King,SAM,late
The Return of the King,SAM,ive
The Return of the King,SAM,gone
The Return of the King,SAM,and
The Return of the King,SAM,had
The Return of the King,SAM,too
The Return of the King,SAM,and
The Return of the King,FRODO,yet
The Return of the King,FRODO,the
The Return of the King,FRODO,days
The Return of the King,FRODO,are
The Return of the King,FRODO,growing
The Return of the King,FRODO,darker
The Return of the King,FRODO,it
The Return of the King,FRODO,isnt
The Return of the King,FRODO,it
The Return of the King,FRODO,isnt
The Return of the King,FRODO,midday
The Return of the King,FRODO,no
The Return of the King,GOLLUM,on
The Return of the King,GOLLUM,must
The Return of the King,GOLLUM,go
The Return of the King,GOLLUM,no
The Return of the King,GOLLUM,time
The Return of the King,GOLLUM,come
The Return of the King,SAM,to
The Return of the King,SAM,eat
The Return of the King,SAM,before
The Return of the King,SAM,mr
The Return of the King,SAM,frodos
The Return of the King,SAM,had
The Return of the King,SAM,something
The Return of the King,SAM,not
The Return of the King,GOLLUM,time
The Return of the King,GOLLUM,to
The Return of the King,GOLLUM,lose
The Return of the King,GOLLUM,silly
The Return of the King,GOLLUM,no
The Return of the King,SAM,here
The Return of the King,FRODO,about
The Return of the King,FRODO,you
The Return of the King,FRODO,what
The Return of the King,SAM,not
The Return of the King,SAM,for
The Return of the King,SAM,lembas
The Return of the King,SAM,bread
The Return of the King,SAM,no
The Return of the King,SAM,im
The Return of the King,SAM,not
The Return of the King,SAM,hungry
The Return of the King,SAM,leastways
The Return of the King,SAM,oh
The Return of the King,FRODO,sam
The Return of the King,FRODO,aragorn
The Return of the King,GANDALF,the
The Return of the King,GANDALF,king
The Return of the King,GANDALF,may
The Return of the King,GANDALF,they
The Return of the King,GANDALF,be
The Return of the King,GANDALF,blessed
The Return of the King,GANDALF,now
The Return of the King,GANDALF,come
The Return of the King,GANDALF,the
The Return of the King,GANDALF,days
The Return of the King,GANDALF,of
The Return of the King,ARAGORN,to
The Return of the King,ARAGORN,one
The Return of the King,ARAGORN,man
The Return of the King,ARAGORN,but
The Return of the King,ARAGORN,to
The Return of the King,ARAGORN,all
The Return of the King,ARAGORN,let
The Return of the King,ARAGORN,us
The Return of the King,ARAGORN,together
The Return of the King,ARAGORN,rebuild
The Return of the King,ARAGORN,this
The Return of the King,ARAGORN,world
The Return of the King,ARAGORN,that
The Return of the King,ARAGORN,we
The Return of the King,ARAGORN,may
The Return of the King,ARAGORN,share
The Return of the King,ARAGORN,in
The Return of the King,ARAGORN,the
The Return of the King,ARAGORN,days
The Return of the King,ARAGORN,of
The Return of the King,ARAGORN,peace
The Return of the King,ARAGORN,this
The Return of the King,ARAGORN,day
The Return of the King,ARAGORN,does
The Return of the King,ARAGORN,not
The Return of the King,ARAGORN,belong
The Return of the King,ARAGORN,maruvan
The Return of the King,ARAGORN,ar
The Return of the King,ARAGORN,hildinyar
The Return of the King,ARAGORN,tenn
The Return of the King,ARAGORN,ambarmetta
The Return of the King,ARAGORN,et
The Return of the King,ARAGORN,erello
The Return of the King,ARAGORN,endorenna
The Return of the King,ARAGORN,utlien
The Return of the King,ARAGORN,sinome
The Return of the King,ARAGORN,hannon
The Return of the King,ARAGORN,le
The Return of the King,ARAGORN,noone
The Return of the King,ARAGORN,my
The Return of the King,ARAGORN,friends
The Return of the King,ARAGORN,you
The Return of the King,ARAGORN,bow
The Return of the King,ARAGORN,to
The Return of the King,FRODO,fourth
The Return of the King,FRODO,age
The Return of the King,FRODO,of
The Return of the King,FRODO,middle
The Return of the King,FRODO,earth
The Return of the King,FRODO,began
The Return of the King,FRODO,and
The Return of the King,FRODO,the
The Return of the King,FRODO,fellowship
The Return of the King,FRODO,of
The Return of the King,FRODO,the
The Return of the King,FRODO,ring
The Return of the King,FRODO,though
The Return of the King,FRODO,eternally
The Return of the King,FRODO,bound
The Return of the King,FRODO,by
The Return of the King,FRODO,friendship
The Return of the King,FRODO,and
The Return of the King,FRODO,love
The Return of the King,FRODO,was
The Return of the King,FRODO,ended
The Return of the King,FRODO,thirteen
The Return of the King,FRODO,months
The Return of the King,FRODO,to
The Return of the King,FRODO,the
The Return of the King,FRODO,day
The Return of the King,FRODO,since
The Return of the King,FRODO,gandalf
The Return of the King,FRODO,sent
The Return of the King,FRODO,us
The Return of the King,FRODO,on
The Return of the King,FRODO,our
The Return of the King,FRODO,long
The Return of the King,FRODO,journey
The Return of the King,FRODO,we
The Return of the King,FRODO,find
The Return of the King,FRODO,ourselves
The Return of the King,FRODO,looking
The Return of the King,FRODO,upon
The Return of the King,FRODO,and
The Return of the King,FRODO,familiar
The Return of the King,FRODO,sight
The Return of the King,FRODO,thus
